DQ234825	free-living	Dolichospermum flos-aquae	UTEX LB2557	 	Choi	Unpublished	 
HM573456	free-living	Anabaena oryzae 	Ind3	India	Mishra	Unpublished	 
JN873351	paddy field	Anabaena vaginicola 	ISC90	Iran	Aghashariatmadari	Unpublished	 
EU022724	Blasia pusilla	Nostoc sp.	 	Norway	Liaimer	Unpublished	 
EU022708	Blasia pusilla	Nostoc sp.	 	Norway	Liaimer	Unpublished	 
EU022728	Blasia pusilla	Nostoc sp.	 	Norway	Liaimer	Unpublished	 
EU022717	Blasia pusilla	Nostoc sp.	 	Norway	Liaimer	Unpublished	 
FR798931	free-living	Chroococcus sp.	VP2-04c	Italy	Cuzman	"Microb. Ecol. 60 (1), 81-95 (2010)"	20446084
HQ591510	Nephroma bellum 	Nostoc sp.	 	Finland	Fedrowitz	"Bryologist 114, 220-230 (2011)"	 
HQ591518	Nephroma bellum 	Nostoc sp.	 	Finland	Fedrowitz	"Bryologist 114, 220-230 (2011)"	 
HQ591521	Nephroma parile	Nostoc sp.	 	Norway	Fedrowitz	"Bryologist 114, 220-230 (2011)"	 
HQ591528	Nephroma resupinatum	Nostoc sp.	 	Finland	Fedrowitz	"Bryologist 114, 220-230 (2011)"	 
FJ546713	Great Salt	Nodularia spumigena 	 	USA	Beer	Unpublished	 
AB088405	free-living	Nostoc commune	M-13	 	Arima	FEMS Microbiol. Ecol. (2011) In press	22066798
HE974995	free-living	Nostoc commune 	CCAP 1453/24	South Africa	Gachon	Unpublished	 
AB093490	free-living	Nostoc entophytum 	IAM M-267	 	Seo	Unpublished	 
AB074503	free-living	Nostoc linckia	IAM M-251	 	Seo	Unpublished	 
AB325907	free-living	Nostoc linckia var. arvense 	IAM M-30	 	Arima	FEMS Microbiol. Ecol. (2011) In press	22066798
HM573462	free-living	Nostoc muscorum 	Ind33	India	Mishra	Unpublished	 
EU022737	free-living	Nostoc sp.	 	Norway	Liaimer	Unpublished	 
GU062468	free-living	Nostoc sp.	1189P	 	Suzuki	Unpublished	 
GU062469	free-living	Nostoc sp.	1190P	 	Suzuki	Unpublished	 
EU022709	free-living	Nostoc sp.	 	Norway	Liaimer	Unpublished	 
EU022729	free-living	Nostoc sp.	 	Norway	Liaimer	Unpublished	 
HM573458	free-living	Nostoc sp.	PCC 7120	 	Mishra	Unpublished	 
AB325908	free-living	Nostoc sp.	PCC 7906 	 	Arima	FEMS Microbiol. Ecol. (2011) In press	22066798
EU022713	free-living	Nostoc sp.	 	Norway	Liaimer	Unpublished	 
HM623782	free-living	Nostoc sp.	MA4	Spain	Mateo	"FEMS Microbiol. Ecol. 76 (2), 185-198 (2011)"	21223333
EU022726	Peltigera canina	Nostoc sp.	 	Norway	Liaimer	Unpublished	 
FJ815321	Peltigera leucophlebia	Nostoc 	 	Finland	Kaasalainen	"Mol. Plant Microbe Interact. 22 (6), 695-702 (2009)"	19445594
JQ007783	Peltigera leucophlebia	Nostoc 	 	Svalbard	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
EU022727	Peltigera scabrosa	Nostoc sp.	 	Norway	Liaimer	Unpublished	 
JN565281	free-living	Scytonema cf. fritschii	UCFS22	New Zealand	Smith	"Phycologia 51 (5), 542-551 (2012)"	 
